 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2012
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"351090 CASSIA DOS COQUEIROS";-;1;-;-;-;3;-;-;-;-;-;2;6
"351100 CASTILHO";3;2;4;3;3;1;3;3;4;6;2;3;37
"351110 CATANDUVA";76;73;77;92;105;94;106;92;110;117;106;88;1136
"351120 CATIGUA";1;-;-;1;-;1;-;-;-;1;1;1;6
"351130 CEDRAL";3;1;-;2;1;1;2;-;1;-;2;4;17
"351140 CERQUEIRA CESAR";10;7;9;4;5;6;5;8;7;5;5;8;79
"351150 CERQUILHO";9;7;4;8;8;8;7;11;8;6;9;8;93
"351160 CESARIO LANGE";3;1;6;2;1;6;4;6;5;1;3;4;42
"351170 CHARQUEADA";4;5;2;2;4;2;4;2;1;3;2;2;33
"351190 CLEMENTINA";-;1;2;-;1;1;3;2;-;2;-;1;13
"351200 COLINA";3;5;2;3;4;8;2;5;3;2;4;7;48
"351210 COLOMBIA";1;-;5;-;1;-;-;1;3;-;2;1;14
"351220 CONCHAL";13;5;3;2;1;4;6;5;4;8;7;11;69
"351230 CONCHAS";7;3;4;5;5;4;8;6;7;5;7;6;67
"351240 CORDEIROPOLIS";7;2;3;2;2;4;3;3;1;9;7;2;45
"351250 COROADOS";-;1;2;1;-;-;-;-;1;-;1;-;6
"351260 CORONEL MACEDO";-;-;-;-;-;1;-;2;-;-;2;-;5
"351270 CORUMBATAI";1;1;-;-;-;-;1;-;1;-;-;-;4
"351280 COSMOPOLIS";15;7;6;14;11;12;11;12;7;5;18;20;138
"351290 COSMORAMA";-;2;3;1;1;1;3;1;1;2;3;3;21
"351300 COTIA";58;67;48;56;74;67;89;68;71;64;64;67;793
"351310 CRAVINHOS";5;3;6;5;5;10;5;3;5;10;5;7;69
"351320 CRISTAIS PAULISTA";1;-;2;-;2;1;1;1;-;-;2;1;11
"351330 CRUZALIA";-;1;-;-;-;1;-;-;-;2;1;-;5
"351340 CRUZEIRO";44;38;24;26;52;46;29;38;31;30;27;27;412
"351350 CUBATAO";28;37;27;31;33;35;39;34;36;30;43;36;409
"351360 CUNHA";7;6;3;3;4;12;12;8;7;9;5;3;79
"351370 DESCALVADO";9;8;10;7;13;19;14;7;10;5;5;10;117
"351380 DIADEMA";96;96;103;88;99;93;133;97;114;133;99;90;1241
"351385 DIRCE REIS";-;-;-;-;-;-;-;-;-;1;-;-;1
"351390 DIVINOLANDIA";6;10;2;8;7;8;5;3;8;10;5;4;76
"351400 DOBRADA";-;-;-;-;-;-;-;-;2;1;-;2;5
